Site Name,Source,IGBP Class,AET/PET,Date Start,Date End,Lat,Lon,No. of Years,r_a0_fapar
US-Los,FLUXNET,WET,0.794,01/01/2000,31/12/2014,46.0827,-89.9792,15,0.86391079809324
US-Oho,FLUXNET,DBF,0.803,01/01/2004,31/12/2013,41.5545,-83.8438,10,0.850263330846488
US-PFa,FLUXNET,MF,0.794,01/01/1995,31/12/2014,45.9459,-90.2723,20,0.842721065041357
US-Prr,FLUXNET,ENF,0.724,01/01/2010,31/12/2014,65.1237,-147.4876,5,0.817477763621293
US-SRM,FLUXNET,WSA,0.35,01/01/2004,31/12/2014,31.8214,-110.8661,11,0.508436449984824
US-Sta,FLUXNET,OSH,0.593,01/01/2005,31/12/2009,41.3966,-106.8024,5,0.827183302525069
US-WCr,FLUXNET,DBF,0.828,01/01/1999,31/12/2014,45.8059,-90.0799,16,0.875004131374753
US-WPT,FLUXNET,WET,0.866,01/01/2011,31/12/2013,41.4646,-82.9962,3,0.681128219705905
US-Wi3,FLUXNET,DBF,0.827,01/01/2002,31/12/2004,46.6347,-91.0987,3,0.727575467354308
US-Wi4,FLUXNET,ENF,0.843,01/01/2002,31/12/2005,46.7393,-91.1663,4,0.770938222442744
ZA-Kru,FLUXNET,SAV,0.437,01/01/2000,31/12/2013,-25.0197,31.4969,14,0.657915194349284
ZM-Mon,FLUXNET,DBF,0.431,01/01/2000,31/12/2009,-15.4391,23.2525,10,0.63692221285724
DE-Har,ICOS,MF,0.706,01/01/2020,31/12/2022,47.933,7.5981,3,0.818691688088964
DE-Msr,ICOS,ENF,0.996,01/01/2020,31/12/2022,47.809181,11.456168,3,0.694817424988515
DK-Skj,ICOS,WET,0.802,01/01/2020,31/12/2022,55.91273,8.40481,3,0.792014201861729
FR-Mej,ICOS,GRA,0.761,01/01/2019,31/12/2022,48.1184,-1.79635,4,0.627972207741228
